nric,taxpayer_id,postal_code,annual_income_sgd,total_reliefs_sgd,chargeable_income_sgd,completeness_flag,validity_flag,accuracy_flag,dq_pass,failure_reasons,reason_missing_nric,reason_missing_taxpayer_id,reason_missing_postal_code,reason_invalid_postal_code_format,reason_invalid_nric_format,reason_accuracy_null_operands,reason_chargeable_income_mismatch
S1234567A,SG001,119077,85000,12950,72050,True,True,True,True,,False,False,False,False,False,False,False
S2345678B,SG002,238882,95000,15900,79100,True,True,True,True,,False,False,False,False,False,False,False
S3456789C,SG003,560123,62000,7950,54050,True,True,True,True,,False,False,False,False,False,False,False
S4567890D,SG004,249657,118000,19800,98200,True,True,True,True,,False,False,False,False,False,False,False
S5678901E,SG005,460123,48000,3950,44050,True,True,True,True,,False,False,False,False,False,False,False
S6789012F,SG006,308232,135000,22700,112300,True,True,True,True,,False,False,False,False,False,False,False
S7890123G,SG007,730123,38000,2950,35050,True,True,True,True,,False,False,False,False,False,False,False
S8901234H,SG008,119966,71000,10450,60550,True,True,True,True,,False,False,False,False,False,False,False
S9012345I,SG009,560789,89000,13900,75100,True,True,True,True,,False,False,False,False,False,False,False
S0123456J,SG010,188900,76000,12800,63200,True,True,True,True,,False,False,False,False,False,False,False
S1234567K,SG011,079903,102000,15300,86700,True,True,True,True,,False,False,False,False,False,False,False
S2345678L,SG012,469123,54000,5450,48550,True,True,True,True,,False,False,False,False,False,False,False
S3456789M,SG013,318234,63000,7950,55050,True,True,True,True,,False,False,False,False,False,False,False
S4567890N,SG014,569234,96000,15400,80600,True,True,True,True,,False,False,False,False,False,False,False
S5678901O,SG015,600234,39000,2950,36050,True,True,True,True,,False,False,False,False,False,False,False
S6789012P,SG016,259951,127000,19050,107950,True,True,True,True,,False,False,False,False,False,False,False
S7890123Q,SG017,139234,81000,12950,68050,True,True,True,True,,False,False,False,False,False,False,False
S8901234R,SG018,560456,58000,6450,51550,True,True,True,True,,False,False,False,False,False,False,False
S9012345S,SG019,018956,92000,13900,78100,True,True,True,True,,False,False,False,False,False,False,False
S0123456T,SG020,469789,67000,9450,57550,True,True,True,True,,False,False,False,False,False,False,False
G1234567U,SG021,238456,158000,19800,138200,True,True,True,True,,False,False,False,False,False,False,False
S2345678V,SG022,730456,45000,3950,41050,True,True,True,True,,False,False,False,False,False,False,False
S3456789W,SG023,119543,79000,12950,66050,True,True,True,True,,False,False,False,False,False,False,False
S4567890X,SG024,569876,84000,13400,70600,True,True,True,True,,False,False,False,False,False,False,False
S5678901Y,SG025,460789,41000,2950,38050,True,True,True,True,,False,False,False,False,False,False,False
S6789012Z,SG026,249123,121000,18450,102550,True,True,True,True,,False,False,False,False,False,False,False
S7890123A,SG027,569321,59000,6950,52050,True,True,True,True,,False,False,False,False,False,False,False
S8901234B,SG028,139876,66000,9450,56550,True,True,True,True,,False,False,False,False,False,False,False
S9012345C,SG029,018765,105000,15900,89100,True,True,True,True,,False,False,False,False,False,False,False
,SG050,119077,75000,10000,65000,False,False,True,False,missing_nric,True,False,False,False,False,False,False
S1111111A,SG051,INVALID,82000,12000,70000,True,False,True,False,invalid_postal_code_format,False,False,False,True,False,False,False
