taxpayer_id,nric,filing_status,assessment_year,filing_date,completeness_flag,validity_flag,accuracy_flag,dq_pass,failure_reasons
SG001,S1234567A,Single,2023,2024-03-15,True,True,True,True,
SG002,S2345678B,Married,2023,2024-02-28,True,True,True,True,
SG003,S3456789C,Single,2023,2024-04-10,True,True,True,True,
SG004,S4567890D,Married,2023,2024-01-30,True,True,True,True,
SG005,S5678901E,Single,2023,2024-03-20,True,True,True,True,
SG006,S6789012F,Married,2023,2024-02-14,True,True,True,True,
SG007,S7890123G,Single,2023,2024-04-05,True,True,True,True,
SG008,S8901234H,Married,2023,2024-03-08,True,True,True,True,
SG009,S9012345I,Single,2023,2024-02-22,True,True,True,True,
SG010,S0123456J,Married,2023,2024-01-25,True,True,True,True,
SG011,S1234567K,Single,2023,2024-03-12,True,True,True,True,
SG012,S2345678L,Married,2023,2024-04-01,True,True,True,True,
SG013,S3456789M,Single,2023,2024-02-18,True,True,True,True,
SG014,S4567890N,Married,2023,2024-03-25,True,True,True,True,
SG015,S5678901O,Single,2023,2024-01-20,True,True,True,True,
SG016,S6789012P,Married,2023,2024-02-10,True,True,True,True,
SG017,S7890123Q,Single,2023,2024-04-12,True,True,True,True,
SG018,S8901234R,Married,2023,2024-03-05,True,True,True,True,
SG019,S9012345S,Single,2023,2024-02-26,True,True,True,True,
SG020,S0123456T,Married,2023,2024-01-15,True,True,True,True,
SG021,G1234567U,Single,2023,2024-03-18,True,True,True,True,
SG022,S2345678V,Married,2023,2024-04-08,True,True,True,True,
SG023,S3456789W,Single,2023,2024-02-12,True,True,True,True,
SG024,S4567890X,Married,2023,2024-03-22,True,True,True,True,
SG025,S5678901Y,Single,2023,2024-01-28,True,True,True,True,
SG026,S6789012Z,Married,2023,2024-02-05,True,True,True,True,
SG027,S7890123A,Single,2023,2024-04-15,True,True,True,True,
SG028,S8901234B,Married,2023,2024-03-01,True,True,True,True,
SG029,S9012345C,Single,2023,2024-02-20,True,True,True,True,
SG050,,Single,2023,2024-03-15,False,False,True,False,missing_nric
SG051,S1111111A,Married,2023,2024-13-45,True,False,True,False,invalid_postal_code_format
SG052,S2222222B,Single,2023,2024-02-30,True,True,True,True,
