taxpayer_id,nric,annual_income_sgd,total_reliefs_sgd,chargeable_income_sgd,cpf_contributions_sgd,foreign_income_sgd,tax_payable_sgd,tax_paid_sgd,income_after_reliefs_sgd,tax_balance_sgd,effective_tax_rate_pct,relief_ratio_pct
SG001,S1234567A,85000,12950,72050,17000,0,8205,8500,72050,-295,11.387925052047189,15.235294117647058
SG002,S2345678B,95000,15900,79100,19000,0,10910,10500,79100,410,13.792667509481667,16.736842105263158
SG003,S3456789C,62000,7950,54050,12400,0,4405,4800,54050,-395,8.149861239592969,12.822580645161292
SG004,S4567890D,118000,19800,98200,23600,0,16640,16200,98200,440,16.945010183299388,16.779661016949152
SG005,S5678901E,48000,3950,44050,9600,0,2405,2800,44050,-395,5.459704880817253,8.229166666666666
SG006,S6789012F,135000,22700,112300,27000,0,20460,19800,112300,660,18.219056099732857,16.814814814814817
SG007,S7890123G,38000,2950,35050,7600,0,1505,2000,35050,-495,4.293865905848787,7.7631578947368425
SG008,S8901234H,71000,10450,60550,14200,0,6055,5800,60550,255,10.0,14.71830985915493
SG009,S9012345I,89000,13900,75100,17800,0,9010,8600,75100,410,11.99733688415446,15.617977528089888
SG010,S0123456J,76000,12800,63200,15200,0,6320,6800,63200,-480,10.0,16.842105263157894
SG011,S1234567K,102000,15300,86700,20400,0,13005,12500,86700,505,15.0,15.0
SG012,S2345678L,54000,5450,48550,10800,0,3855,4200,48550,-345,7.940267765190526,10.092592592592593
SG013,S3456789M,63000,7950,55050,12600,0,5005,5400,55050,-395,9.091734786557675,12.619047619047619
SG014,S4567890N,96000,15400,80600,19200,0,11090,10700,80600,390,13.759305210918113,16.041666666666668
SG015,S5678901O,39000,2950,36050,7800,0,1805,2200,36050,-395,5.006934812760056,7.564102564102564
SG016,S6789012P,127000,19050,107950,25400,0,18592,18000,107950,592,17.222788327929596,15.0
SG017,S7890123Q,81000,12950,68050,16200,0,7805,8200,68050,-395,11.469507714915503,15.987654320987655
SG018,S8901234R,58000,6450,51550,11600,0,4155,4600,51550,-445,8.060135790494666,11.120689655172415
SG019,S9012345S,92000,13900,78100,18400,0,9310,8900,78100,410,11.920614596670935,15.108695652173912
SG020,S0123456T,67000,9450,57550,13400,0,5755,6200,57550,-445,10.0,14.1044776119403
