taxpayer_id,nric,full_name,residential_status,number_of_dependents,housing_type,assessment_year
SG001,S1234567A,Tan Wei Ming,Resident,0,HDB 4-room,2023
SG002,S2345678B,Lim Hui Ling,Resident,2,Private Condo,2023
SG003,S3456789C,Ahmad Rahman,Resident,0,HDB 3-room,2023
SG004,S4567890D,Chen Li Na,Resident,3,Landed Property,2023
SG005,S5678901E,Raj Kumar,Resident,0,HDB 2-room,2023
SG006,S6789012F,Wong Mei Fen,Resident,1,Private Condo,2023
SG007,S7890123G,Muhammad Ali,Resident,0,HDB 3-room,2023
SG008,S8901234H,Lee Hwee Choo,Resident,2,HDB 5-room,2023
SG009,S9012345I,Siti Aminah,Resident,0,HDB 4-room,2023
SG010,S0123456J,David Lim,Resident,1,Private Condo,2023
SG011,S1234567K,Priya Sharma,Resident,0,CBD Office,2023
SG012,S2345678L,Jason Ng,Resident,2,HDB 3-room,2023
SG013,S3456789M,Fatimah Zahra,Resident,0,Private Condo,2023
SG014,S4567890N,Kevin Tan,Resident,3,HDB 5-room,2023
SG015,S5678901O,Sunita Devi,Resident,0,HDB 2-room,2023
SG016,S6789012P,Lim Boon Huat,Resident,1,Landed Property,2023
SG017,S7890123Q,Rachel Chua,Resident,0,Private Condo,2023
SG018,S8901234R,Hassan Ibrahim,Resident,2,HDB 3-room,2023
SG019,S9012345S,Grace Liu,Resident,0,CBD Office,2023
SG020,S0123456T,Kumar Selvam,Resident,1,HDB 4-room,2023
SG021,G1234567U,Emma Thompson,Non-Resident,0,Private Condo,2023
SG022,S2345678V,Nur Aisyah,Resident,2,HDB 3-room,2023
SG023,S3456789W,Benjamin Lee,Resident,0,Private Condo,2023
SG024,S4567890X,Kavitha Raj,Resident,2,HDB 4-room,2023
SG025,S5678901Y,Alan Ong,Resident,0,HDB 2-room,2023
SG026,S6789012Z,Isabella Chen,Resident,1,Landed Property,2023
SG027,S7890123A,Mohammad Firdaus,Resident,0,HDB 3-room,2023
SG028,S8901234B,Sarah Teo,Resident,2,Private Condo,2023
SG029,S9012345C,Arjun Singh,Resident,0,CBD Office,2023
SG050,,John Doe,Resident,0,HDB 4-room,2023
SG051,S1111111A,Jane Smith,Resident,1,Private Condo,2023
SG052,S2222222B,Bob Wilson,Resident,0,HDB 5-room,2023
SG053,INVALID_NRIC,Alice Brown,Resident,2,Private Condo,2023
SG054,S1234568A,Tom Lee,Resident,0,HDB 3-room,2023
SG055,,Mary Lim,Resident,2,Private Condo,2023
SG056,S3456781C,Peter Tan,Resident,0,HDB 4-room,2023
SG057,XXXXX1234,Susan Wong,Resident,1,Private Condo,2023
SG058,S4567892D,Kevin Ng,Resident,0,HDB 3-room,2023
SG059,S5678903E,Linda Chen,Resident,2,HDB 5-room,2023
SG060,S6789014F,James Koh,Resident,0,Private Condo,2023
SG061,,Rachel Teo,Resident,1,HDB 4-room,2023
SG062,S7890125G,David Liu,Resident,0,HDB 2-room,2023
SG063,INVALID99,Sophie Kim,Resident,2,Landed Property,2023
SG064,S8901236H,Mark Tan,Resident,0,HDB 4-room,2023
SG065,S9012347I,Amy Lau,Resident,1,Private Condo,2023
SG066,S0123458J,Chris Wong,Resident,0,HDB 3-room,2023
SG067,,Helen Goh,Resident,2,Private Condo,2023
SG068,S1234569K,Robert Sim,Resident,0,HDB 3-room,2023
SG069,BADNRIC01,Grace Lim,Resident,1,HDB 4-room,2023
SG070,S2345670L,Paul Lee,Resident,0,HDB 3-room,2023
SG071,S3456781M,Nancy Chen,Resident,2,Private Condo,2023
SG072,S4567892N,Alan Koh,Resident,0,HDB 2-room,2023
SG073,,Emily Tan,Resident,1,HDB 4-room,2023
SG074,S5678903O,Michael Ng,Resident,0,Private Condo,2023
SG075,INVALID_ID,Sarah Lau,Resident,2,Landed Property,2023
SG076,S6789014P,Victor Wong,Resident,0,HDB 3-room,2023
SG077,S7890125Q,Jessica Liu,Resident,1,Private Condo,2023
SG078,S8901236R,Benjamin Teo,Resident,0,HDB 4-room,2023
SG079,,Lisa Chen,Resident,2,HDB 5-room,2023
SG080,S9012347S,Andrew Koh,Resident,0,HDB 2-room,2023
SG081,NRIC_BAD1,Michelle Tan,Resident,1,Private Condo,2023
SG082,S0123458T,Jonathan Ng,Resident,0,HDB 4-room,2023
SG083,S1234569U,Stephanie Lim,Resident,2,Private Condo,2023
SG084,S2345670V,Ryan Wong,Resident,0,HDB 3-room,2023
SG085,,Catherine Liu,Resident,1,HDB 4-room,2023
SG086,S3456781W,Matthew Teo,Resident,0,Private Condo,2023
SG087,BADNRIC02,Jennifer Chen,Resident,2,HDB 5-room,2023
SG088,S4567892X,Steven Koh,Resident,0,HDB 2-room,2023
SG089,S5678903Y,Amanda Tan,Resident,1,Private Condo,2023
SG090,S6789014Z,Charles Ng,Resident,0,HDB 4-room,2023
SG091,,Diana Lau,Resident,2,Private Condo,2023
SG092,S7890125A,Patrick Wong,Resident,0,HDB 3-room,2023
SG093,INVALID88,Karen Liu,Resident,1,HDB 4-room,2023
SG094,S8901236B,Edward Teo,Resident,0,Private Condo,2023
SG095,S9012347C,Monica Chen,Resident,2,Landed Property,2023
SG096,S0123458D,Timothy Koh,Resident,0,HDB 3-room,2023
SG097,,Rebecca Tan,Resident,1,Private Condo,2023
SG098,S1234569E,Gregory Ng,Resident,0,HDB 2-room,2023
SG099,NRICBAD99,Samantha Lim,Resident,2,HDB 5-room,2023
SG100,S2345670F,Kenneth Wong,Resident,0,HDB 4-room,2023
SG101,S3456781G,Vanessa Liu,Resident,1,Private Condo,2023
SG102,S4567892H,Derek Teo,Resident,0,HDB 3-room,2023
SG103,,Brenda Chen,Resident,2,HDB 4-room,2023
SG104,S5678903I,Marcus Koh,Resident,0,Private Condo,2023
SG105,BADID2024,Olivia Tan,Resident,1,HDB 5-room,2023
SG106,S6789014J,Gerald Ng,Resident,0,HDB 2-room,2023
SG107,S7890125K,Cheryl Lau,Resident,2,Landed Property,2023
SG108,S8901236L,Harold Wong,Resident,0,HDB 4-room,2023
SG109,,Denise Liu,Resident,1,Private Condo,2023
SG110,S9012347M,Vincent Teo,Resident,0,HDB 3-room,2023
SG111,NRIC_INV1,Melissa Chen,Resident,2,HDB 5-room,2023
SG112,S0123458N,Aaron Koh,Resident,0,Private Condo,2023
SG113,S1234569O,Jacqueline Tan,Resident,1,HDB 4-room,2023
SG114,S2345670P,Brandon Ng,Resident,0,HDB 3-room,2023
SG115,,Cynthia Lim,Resident,2,Private Condo,2023
SG116,S3456781Q,Donald Wong,Resident,0,HDB 4-room,2023
